,Symbol,LTP,% Change,Open,High,Low,Qty.
212,TRH,342.0,0.88,350.0,333.3,345.0,9889
213,UHEWA,364.0,-6.91,383.2,351.9,383.2,7077
214,UIC,348.8,-1.47,354.0,341.1,354.0,3813
215,ULBSL,3380.0,1.2,3390.0,3274.0,3275.0,1810
216,UMHL,227.0,-2.99,238.6,225.5,237.0,143635
217,UMRH,415.0,-1.66,434.0,414.5,430.4,5867
218,UNHPL,179.0,-2.88,187.0,177.6,185.0,18718
219,UNL,19480.0,-0.05,19480.0,19103.1,19103.1,30
220,UPCL,211.8,-1.03,218.0,208.2,217.0,86047
221,UPPER,369.0,-0.81,379.0,365.0,379.0,26548
222,USHEC,251.8,-3.15,260.0,247.3,256.1,7130
223,USLB,883.0,-2.0,918.0,883.0,901.0,267
224,VLBS,830.0,-0.24,832.0,822.0,832.0,403
225,WNLB,900.0,-3.95,930.0,900.0,930.0,160
